ts,role,ip,peer_ip,dl_mcs,ul_mcs,dl_snr_db,ul_snr_db,dl_rssi_dbm,ul_rssi_dbm,dl_rate,note
2026-05-09T02:21:54-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T02:22:54-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,19,-75,-81,137M,ok
2026-05-09T02:23:55-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T02:24:55-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,19,-76,-80,137M,ok
2026-05-09T02:25:55-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,19,-76,-79,137M,ok
2026-05-09T02:26:56-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T02:27:56-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,21,-76,-79,137M,ok
2026-05-09T02:28:56-05:00,AP,192.168.1.2,192.168.1.3,106,104,20,20,-76,-80,154M,ok
2026-05-09T02:29:56-05:00,AP,192.168.1.2,192.168.1.3,204,106,20,20,-76,-80,154M,ok
2026-05-09T02:30:57-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,19,-76,-81,137M,ok
2026-05-09T02:31:57-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,19,-76,-80,137M,ok
2026-05-09T02:32:57-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T02:33:58-05:00,AP,192.168.1.2,192.168.1.3,105,103,20,20,-76,-78,137M,ok
2026-05-09T02:34:58-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-78,137M,ok
2026-05-09T02:35:58-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T02:36:59-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,19,-76,-81,137M,ok
2026-05-09T02:37:59-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T02:38:59-05:00,AP,192.168.1.2,192.168.1.3,105,106,20,21,-76,-79,137M,ok
2026-05-09T02:39:59-05:00,AP,192.168.1.2,192.168.1.3,104,104,20,20,-76,-80,103M,ok
2026-05-09T02:41:00-05:00,AP,192.168.1.2,192.168.1.3,104,105,20,20,-76,-78,103M,ok
2026-05-09T02:42:00-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,21,-76,-79,137M,ok
2026-05-09T02:43:00-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T02:44:01-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T02:45:01-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T02:46:03-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,19,-76,-79,137M,ok
2026-05-09T02:47:03-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
2026-05-09T02:48:04-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T02:49:04-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,19,-76,-81,137M,ok
2026-05-09T02:50:04-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T02:51:05-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-78,137M,ok
2026-05-09T02:52:05-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-78,137M,ok
2026-05-09T02:53:05-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T02:54:05-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T02:55:06-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T02:56:06-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,19,-76,-81,137M,ok
2026-05-09T02:57:06-05:00,AP,192.168.1.2,192.168.1.3,105,104,20,20,-76,-80,137M,ok
2026-05-09T02:58:08-05:00,AP,192.168.1.2,192.168.1.3,105,105,20,20,-76,-80,137M,ok
