ts,role,ip,f4,f5,f6,f7,mcs_dl,mcs_ul,snr_dl,snr_ul,rssi_c0p,rssi_c0e,rssi_c1p,rssi_c1e,dl_rate,ul_rate,sta_dl_rssi,sta_ul_rssi,res20,res21,res22,res23,res24
2026-02-21T00:29:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,21,	-81,	-83,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T00:30:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-84,	-90,	-93,137M,,-77,-77,,,,,
2026-02-21T00:30:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-84,	-90,	-93,137M,,-77,-77,,,,,
2026-02-21T00:31:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-83,	-91,	-93,137M,,-77,-77,,,,,
2026-02-21T00:31:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-83,	-91,	-93,137M,,-77,-77,,,,,
2026-02-21T00:32:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,21,	-81,	-83,	-92,	-93,137M,,-77,-77,,,,,
2026-02-21T00:32:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,21,	-81,	-83,	-92,	-93,137M,,-77,-77,,,,,
2026-02-21T00:33:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,19,21,	-81,	-83,	-91,	-93,103M,,-77,-77,,,,,
2026-02-21T00:33:01-05:00,SM,192.168.1.3,2,2,,,104,104,19,21,	-81,	-83,	-91,	-93,103M,,-77,-77,,,,,
2026-02-21T00:34:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-83,	-92,	-93,137M,,-77,-76,,,,,
2026-02-21T00:34:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-83,	-92,	-93,137M,,-77,-76,,,,,
2026-02-21T00:35:01-05:00,AP,192.168.1.2,0,137,2,2,106,104,19,21,	-81,	-83,	-89,	-92,77M,,-77,-77,,,,,
2026-02-21T00:35:01-05:00,SM,192.168.1.3,2,2,,,106,104,19,21,	-81,	-83,	-89,	-92,77M,,-77,-77,,,,,
2026-02-21T00:36:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-83,	-90,	-93,137M,,-77,-76,,,,,
2026-02-21T00:36:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-83,	-90,	-93,137M,,-77,-76,,,,,
2026-02-21T00:37:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,21,	-81,	-84,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T00:37:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,21,	-81,	-84,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T00:38:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-83,	-91,	-93,137M,,-77,-77,,,,,
2026-02-21T00:38:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-83,	-91,	-93,137M,,-77,-77,,,,,
2026-02-21T00:39:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-83,	-91,	-93,137M,,-77,-76,,,,,
2026-02-21T00:39:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-83,	-91,	-93,137M,,-77,-76,,,,,
2026-02-21T00:40:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,21,	-81,	-84,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T00:40:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,21,	-81,	-84,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T00:41:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,,,	-98,,137M,,-77,-77,,,,,
2026-02-21T00:41:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,,,	-98,,137M,,-77,-77,,,,,
2026-02-21T00:42:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-82,	-91,	-93,137M,,-77,-77,,,,,
2026-02-21T00:42:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-82,	-91,	-93,137M,,-77,-77,,,,,
2026-02-21T00:43:01-05:00,AP,192.168.1.2,0,137,2,2,104,105,19,21,	-96,,	-96,,103M,,-77,-77,,,,,
2026-02-21T00:43:01-05:00,SM,192.168.1.3,2,2,,,104,105,19,21,	-96,,	-96,,103M,,-77,-77,,,,,
2026-02-21T00:44:02-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-82,	-83,	-91,	-95,137M,,-77,-77,,,,,
2026-02-21T00:44:02-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-82,	-83,	-91,	-95,137M,,-77,-77,,,,,
2026-02-21T00:45:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,19,21,	-81,	-82,	-91,	-94,103M,,-77,-77,,,,,
2026-02-21T00:45:01-05:00,SM,192.168.1.3,2,2,,,104,104,19,21,	-81,	-82,	-91,	-94,103M,,-77,-77,,,,,
2026-02-21T00:46:01-05:00,AP,192.168.1.2,0,137,2,2,104,105,19,22,	-80,	-83,	-92,	-93,103M,,-77,-76,,,,,
2026-02-21T00:46:01-05:00,SM,192.168.1.3,2,2,,,104,105,19,22,	-80,	-83,	-92,	-93,103M,,-77,-76,,,,,
2026-02-21T00:47:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-82,	-83,	-91,	-95,137M,,-77,-77,,,,,
2026-02-21T00:47:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-82,	-83,	-91,	-95,137M,,-77,-77,,,,,
2026-02-21T00:48:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,19,21,	-82,	-83,	-92,	-94,103M,,-77,-77,,,,,
2026-02-21T00:48:01-05:00,SM,192.168.1.3,2,2,,,104,104,19,21,	-82,	-83,	-92,	-94,103M,,-77,-77,,,,,
2026-02-21T00:49:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-83,	-92,	-94,137M,,-77,-77,,,,,
2026-02-21T00:49:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-83,	-92,	-94,137M,,-77,-77,,,,,
2026-02-21T00:50:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,20,	-81,	-84,	-92,	-94,137M,,-77,-78,,,,,
2026-02-21T00:50:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,20,	-81,	-84,	-92,	-94,137M,,-77,-78,,,,,
2026-02-21T00:51:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-80,	-82,	-91,	-93,137M,,-77,-76,,,,,
2026-02-21T00:51:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-80,	-82,	-91,	-93,137M,,-77,-76,,,,,
2026-02-21T00:52:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,19,20,	-81,	-83,	-93,	-94,103M,,-77,-78,,,,,
2026-02-21T00:52:01-05:00,SM,192.168.1.3,2,2,,,104,104,19,20,	-81,	-83,	-93,	-94,103M,,-77,-78,,,,,
2026-02-21T00:53:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-83,	-92,	-93,137M,,-77,-77,,,,,
2026-02-21T00:53:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-83,	-92,	-93,137M,,-77,-77,,,,,
2026-02-21T00:54:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-83,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T00:54:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-83,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T00:55:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-82,	-91,	-94,137M,,-77,-76,,,,,
2026-02-21T00:55:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-82,	-91,	-94,137M,,-77,-76,,,,,
2026-02-21T00:56:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-82,	-83,	-93,	-94,137M,,-77,-77,,,,,
2026-02-21T00:56:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-82,	-83,	-93,	-94,137M,,-77,-77,,,,,
2026-02-21T00:57:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-80,	-82,	-90,	-93,137M,,-77,-76,,,,,
2026-02-21T00:57:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-80,	-82,	-90,	-93,137M,,-77,-76,,,,,
2026-02-21T00:58:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,21,	-80,	-82,	-91,	-93,137M,,-77,-78,,,,,
2026-02-21T00:58:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,21,	-80,	-82,	-91,	-93,137M,,-77,-78,,,,,
2026-02-21T00:59:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-80,	-82,	-91,	-94,137M,,-77,-76,,,,,
2026-02-21T00:59:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-80,	-82,	-91,	-94,137M,,-77,-76,,,,,
2026-02-21T01:00:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-80,	-82,	-90,	-94,137M,,-77,-76,,,,,
2026-02-21T01:00:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-80,	-82,	-90,	-94,137M,,-77,-76,,,,,
2026-02-21T01:01:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-83,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T01:01:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-83,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T01:02:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-83,	-92,	-95,137M,,-77,-77,,,,,
2026-02-21T01:02:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-83,	-92,	-95,137M,,-77,-77,,,,,
2026-02-21T01:03:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-78,	-80,	-88,	-92,137M,,-77,-76,,,,,
2026-02-21T01:03:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-78,	-80,	-88,	-92,137M,,-77,-76,,,,,
2026-02-21T01:04:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-80,	-82,	-91,	-94,137M,,-77,-76,,,,,
2026-02-21T01:04:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-80,	-82,	-91,	-94,137M,,-77,-76,,,,,
2026-02-21T01:05:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-83,	-91,	-95,137M,,-77,-77,,,,,
2026-02-21T01:05:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-83,	-91,	-95,137M,,-77,-77,,,,,
2026-02-21T01:06:02-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-83,	-90,	-91,137M,,-77,-76,,,,,
